omim_id	entrez_id
100100	1131
100300	57514
100800	2261
101000	4771
101200	2263
101400	2263
101400	7291
101600	2260
101600	2263
101800	5573
101900	488
102200	9049
102370	2200
102500	4853
102530	83893
102700	100
102900	5313
103050	158
103285	8626
103500	4286
103580	2778
103780	125
103780	126
103780	2555
103780	3356
103780	50833
103900	1584
104100	2697
104200	1285
104290	477
104300	3077
104300	351
104300	4353
104300	4846
104300	5328
104310	348
104500	10117
104510	1747
104530	3914
105120	2934
105150	1471
105200	2243
105200	335
105200	4069
105200	567
105210	7276
105250	9180
105400	1639
105400	4744
105400	5630
105400	6647
105500	54822
105550	203228
105600	9493
105650	6223
105830	6638
105830	7337
106100	710
106100	710
106190	3709
106210	5080
106210	7490
106260	8626
106300	3106
106600	4487
107250	5309
107480	6299
107600	9790
107970	7043
108010	3569
108010	3845
108120	7169
108145	63895
108300	1280
108420	4438
108500	773
108600	6843
108720	2317
108721	2317
108770	2702
108900	1482
108985	7003
109150	4287
109400	5727
109730	4851
109800	2261
109800	3265
109800	3845
109800	5925
110100	668
110450	358
110500	6521
110700	2532
110800	2651
110900	3792
111000	6563
111150	10661
111200	4059
111250	3386
111300	2993
111380	682
111400	53947
111400	8706
111600	10058
111620	114625
111740	2994
111750	114625
112010	6521
112050	6521
112100	43
112240	5034
112250	4507
112310	2317
112410	5139
112500	3549
112600	650
112600	658
112600	8200
113000	4920
113100	8200
113200	3239
113300	3239
113500	59341
113620	7020
113650	2138
113650	6495
113750	283652
113800	3848
113900	6331
113970	4609
114000	1277
114290	6662
114300	63895
114480	11200
114480	207
114480	2099
114480	3161
114480	3845
114480	472
114480	4835
114480	5002
114480	5245
114480	5290
114480	580
114480	5888
114480	672
114480	675
114480	7157
114480	7517
114480	79728
114480	83990
114480	841
114480	8438
114480	8493
114480	9821
114480	999
114500	10395
114500	11200
114500	1499
114500	1630
114500	201163
114500	2033
114500	207
114500	2261
114500	25788
114500	27030
114500	324
114500	4163
114500	4893
114500	5157
114500	5290
114500	5320
114500	5782
114500	5795
114500	581
114500	595
114500	6714
114500	673
114500	6790
114500	699
114500	701
114500	7097
114500	7157
114500	8313
114550	1499
114550	324
114550	3482
114550	4233
114550	5157
114550	5290
114550	7157
114550	8312
114550	841
115000	6262
115150	673
115195	7139
115196	7168
115197	4607
115200	4000
115210	7137
115300	53630
115310	6390
